timestamp,worker_id,zone,helmet,safety_vest,safety_shoes,behavior
2026-09-01 09:00,W001,Zone A,yes,yes,yes,safe
2026-09-01 10:00,W002,Zone A,no,yes,yes,safe
2026-09-01 11:00,W003,Zone B,yes,no,yes,unsafe
2026-09-01 12:00,W004,Zone B,no,no,yes,unsafe
2026-09-01 13:00,W005,Zone C,yes,yes,no,safe
2026-09-01 14:00,W006,Zone C,yes,yes,yes,unsafe
2026-09-01 15:00,W007,Zone A,no,yes,no,unsafe
2026-09-01 16:00,W008,Zone B,yes,yes,yes,safe
2026-09-01 17:00,W009,Zone C,yes,no,no,unsafe
2026-09-01 18:00,W010,Zone A,yes,yes,yes,safe
2026-09-01 19:00,W011,Zone B,no,no,no,unsafe
2026-09-01 20:00,W012,Zone C,yes,yes,yes,safe
